X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.2723096029995,33.8186149140004,34,DRUID HILLS MIDDLE SCHOOL,Dekalb,3100 MOUNT OLIVE DR,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,{294C872A-D376-46CA-8AF7-CCB6E8AFEF0B},2015/01/30 21:10:09+00,School,Garden
-84.4015378169997,33.7411636820005,35,DUNBAR ELEMENTARY SCHOOL,Fulton,500 Whitehall Terrace SW,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,{FAFB5B31-223C-40CA-B951-E54D9C58E053},2015/01/30 21:10:09+00,School,Garden
-84.5425144449996,33.9164283670005,36,FAIR OAKS ELEMENTARY SCHOOL,Cobb,407 BARBER RD SE,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,{74B1F990-9821-43E6-B73B-BBC5B6E76E3F},2015/01/30 21:10:09+00,School,Garden
-84.5141688449997,33.6966469840004,37,FICKETT ELEMENTARY SCHOOL,Fulton,3935 RUX RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,{79838230-00EF-4243-BB98-50180612F753},2015/01/30 21:10:09+00,School,Garden
-84.7149272294561,33.9870500137498,38,FORD ELEMENTARY SCHOOL,Cobb,1345 MARS HILL RD NW,ACWORTH,30101,Captain Planet Foundation_ Project Learning Garden,{C3A117EF-5625-41A1-9CA7-271D989393FA},2015/01/30 21:10:09+00,School,Garden
-84.3787450039997,33.8317947550005,39,GARDEN HILLS ELEMENTARY SCHOOL,Fulton,"285 Sheridan Drive, NE",Atlanta,30305,Captain Planet Foundation_ Project Learning Garden,{E8803A06-96BE-4D8C-8955-9F9059CE85DC},2015/01/30 21:10:09+00,School,Garden
-84.4331989189997,34.0494597600006,40,GARRISON MILL ELEMENTARY,Cobb,4111 WESLEY CHAPEL RD,MARIETTA,30062,Captain Planet Foundation_ Project Learning Garden,{2691ED80-2CF4-4207-80EA-E3BDFA3DCA51},2015/01/30 21:10:09+00,School,Garden
-84.5043280939997,33.7756237170006,41,George Alexander Towns Elementary,Fulton,760 Bolton Road,Atlanta,30331,Captain Planet Foundation_ Project Learning Garden,{DDAC3CF4-314C-45CC-8B06-553FFFEB888D},2015/01/30 21:10:09+00,School,Garden
-84.4051299819996,33.7306068180005,42,GIDEONS ELEMENTARY SCHOOL,Fulton,897 WELCH ST SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{EAA470CC-D19F-478B-B338-C4964893B9B1},2015/01/30 21:10:09+00,School,Garden
-84.4442143989996,33.7723878870005,43,Grove Park Intermediate School,Fulton,20 EVELYN WAY NW,ATLANTA,30318,Captain Planet Foundation_ Project Learning Garden,{AB98AAFA-4718-40BD-87DC-A3C3D6F0C491},2017/02/13 15:30:12+00,School,Garden
-84.2058728389997,33.8114873290006,44,Hambrick Elementary School,Dekalb,1101 Hambrick Road,Stone Mountain,30083,Captain Planet Foundation_ Project Learning Garden,{C60BD4D9-8977-4451-9572-E3FEBF85F763},2015/01/30 21:10:09+00,School,Garden
-84.3790379439997,33.6596500010006,45,HERITAGE ACADEMY ELEMENTARY,Fulton,3500 VILLA CIR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,{E91F9930-62AC-42A8-9B42-7D5C87C47F0F},2015/01/30 21:10:09+00,School,Garden
-84.4739028739996,34.1713570370005,46,HOLLY SPRINGS ELEMENTARY SCHOOL,Cherokee,1965 HICKORY RD,CANTON,30115,Captain Planet Foundation_ Project Learning Garden,{729FA1D7-FBAC-4D7E-87C3-B3B0E46AA630},2015/01/30 21:10:09+00,School,Garden
,,47,FINCH ELEMENTARY,Fulton,111 AVON AVENUE. S.W.,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,{622B3180-FAD2-4D59-9CA8-B3A456325882},2015/01/30 21:10:09+00,School,Garden
-84.0004334229997,33.9278610580005,48,HOLT ELEMENTARY SCHOOL,Gwinnett,588 OLD SNELLVILLE HWY,LAWRENCEVILLE,30046,Captain Planet Foundation_ Project Learning Garden,{9E67CA39-E9CC-4BD5-A11A-36555AEB88AE},2015/01/30 21:10:09+00,School,Garden
